Rank,FeatureClass,FeatureName,Feature,ROI0_StabilityScore,ROI0_NumberOfVoxels,ROI0_Mean,ROI0_Median,ROI0_Variance,ROI0_StandardDeviation,ROI0_CoefficientOfVariation,ROI0_MAD,ROI0_IQR,ROI0_Minimum,ROI0_Maximum,ROI0_P05,ROI0_P95
61,glcm,Correlation,glcm.Correlation,0.3898989898989899,318,0.029554400233465655,0.09384100884903046,0.0648148377069376,0.25458758356789046,8.614202337275332,0.15141725915695828,0.3295808961087225,-0.8634902628096048,0.40985111789777406,-0.5009335837353595,0.3486059035849454
62,ngtdm,Strength,ngtdm.Strength,0.38931247963506027,318,370.3446817744506,314.47601197616734,52121.64985747698,228.30166415836084,0.6164572502148212,136.5190919458698,296.2657217611481,30.9438202247191,1163.4602979016415,84.3060137288645,848.6613905026616
63,firstorder,MeanAbsoluteDeviation,firstorder.MeanAbsoluteDeviation,0.37810361681329424,318,1401.7854459905382,1265.0344449266977,572218.9950047419,756.4515814014417,0.5396343524360914,478.02964500144685,949.2792094666281,202.1644140624998,4329.315987723215,467.838733675733,2810.020879688681
64,firstorder,RobustMeanAbsoluteDeviation,firstorder.RobustMeanAbsoluteDeviation,0.3774519387422613,318,1006.7840521417197,875.4671855070153,337731.2514518914,581.146497409983,0.5772305353603059,391.88224330357144,766.6472495980813,29.964301215277676,3171.5853125000003,269.2219827473958,2059.5893076371162
65,firstorder,StandardDeviation,firstorder.StandardDeviation,0.3743238840013034,318,1657.654734751952,1505.0578484753491,773536.3367336573,879.5091453382718,0.5305743873556876,527.3222669019234,1102.0099708815092,256.08343140969436,5040.511437741684,572.662120850177,3286.7445051819955
66,firstorder,Minimum,firstorder.Minimum,0.35047246660149883,318,7322.632017123624,6268.431640625,7701497.467774821,2775.157196948458,0.3789835663541314,1732.56396484375,4538.72216796875,4390.8486328125,14006.595703125,4423.0107421875,12403.424267578124
67,firstorder,Range,firstorder.Range,0.3499511241446725,318,5075.038786114387,4623.846435546875,7388542.151247095,2718.187291421821,0.5355993138139054,1647.890380859375,3337.103271484375,696.18896484375,14910.25341796875,1706.3248779296878,10101.010302734368
68,firstorder,Skewness,firstorder.Skewness,0.34975562072336264,318,0.07772009469138506,0.06156419146744126,0.29841180977626763,0.5462708209087024,7.028694742046604,0.390969334081387,0.774995390927881,-1.4311334039811656,1.40385658872855,-0.8194895004858228,1.049879189374439
69,firstorder,InterquartileRange,firstorder.InterquartileRange,0.34271749755620723,318,2286.5304949298593,1993.25830078125,2071117.5654025006,1439.1377854126756,0.6293980284119596,962.6236572265625,1865.2001953125,71.21533203125,7302.982421875,496.53440551757814,5060.679882812497
70,firstorder,10Percentile,firstorder.10Percentile,0.34252199413489737,318,7913.519802568545,7054.98076171875,8197730.89672005,2863.167982623452,0.36180714196154967,1955.2281738281245,5027.077001953124,4411.0154296875,14964.499609375,4518.7822265625,13179.939658203124
71,firstorder,RootMeanSquared,firstorder.RootMeanSquared,0.334832192896709,318,10003.121037205246,9765.286319728446,9691022.24218502,3113.0406746756494,0.31120693862416726,2520.6233322063235,5139.8937091738935,4588.777689325136,16590.84586601794,5511.709031147989,15279.014208684795
72,firstorder,Mean,firstorder.Mean,0.32864125122189636,318,9832.803182848435,9493.225850423176,9550067.9899878,3090.3184285746024,0.3142866150280634,2533.2849568684883,5193.34971110026,4581.6265625,16470.555772569445,5475.490720563616,15043.276095920135
73,firstorder,Median,firstorder.Median,0.3143695014662756,318,9833.349032036163,9369.035400390625,10239502.443897832,3199.9222559146388,0.32541530311693206,2691.427734375,5156.573303222656,4458.0712890625,16744.775390625,5364.867907714844,15580.0859375
74,firstorder,90Percentile,firstorder.90Percentile,0.31274030628869337,318,11783.913234264446,11482.31650390625,12960699.975215705,3600.0972174672875,0.30550948109488574,2723.9356445312496,5167.170068359375,4860.90068359375,19196.51640625,6177.427338867187,17736.199609375
75,glcm,DifferenceVariance,glcm.DifferenceVariance,0.30159661127403065,318,1244.3490435010483,736.1961805555554,2230208.275110083,1493.3881863434178,1.200136082510807,472.9218749999999,1341.0980902777778,2.7222222222222223,11536.914930555555,96.33784722222224,3576.543402777778
76,firstorder,Maximum,firstorder.Maximum,0.2987292277614859,318,12397.67080323801,12196.13720703125,14249996.39828341,3774.9167405763283,0.3044859635723187,2814.60791015625,5710.583984375,5087.03759765625,19446.12109375,6597.4793701171875,18519.08984375
77,glcm,SumSquares,glcm.SumSquares,0.25591397849462366,318,4920.725173174353,3161.2272135416665,30017284.21300845,5478.8031734137385,1.1134137714664056,2178.1174045138887,4841.377170138889,95.375,33820.90972222222,452.51258680555554,15241.743337673595
78,glszm,GrayLevelVariance,glszm.GrayLevelVariance,0.2275008145975888,318,5629.683399556567,3659.055555555555,39290737.06074301,6268.232371310353,1.1134253787351671,2550.4814814814813,5573.240740740739,104.56,40611.63265306121,526.888425925926,17276.29506172839
79,glrlm,GrayLevelVariance,glrlm.GrayLevelVariance,0.21928967090257415,318,5627.828809474661,3641.316333912037,39301840.647120595,6269.118011899329,1.1139496640951538,2566.2730864197533,5573.240740740739,104.56000000000002,40611.63265306122,526.888425925926,17276.29506172839
80,gldm,GrayLevelVariance,gldm.GrayLevelVariance,0.21713913326816553,318,5627.210612780693,3617.3472222222217,39307472.744527206,6269.567189569564,1.1141518633281526,2549.456790123457,5573.240740740739,104.56,40611.63265306121,526.888425925926,17276.29506172839
